@RELATION touch

@ATTRIBUTE pressure		REAL
@ATTRIBUTE size		 	REAL
@ATTRIBUTE touchmajor	REAL
@ATTRIBUTE touchminor	REAL
@ATTRIBUTE duration		REAL
@ATTRIBUTE flytime		REAL
@ATTRIBUTE shake		REAL
@ATTRIBUTE orientation	INTEGER
@ATTRIBUTE type 		INTEGER
@ATTRIBUTE class 	{Navid,Others}

@DATA
1.0,0.015196079,4.5,3.25,84,923,136.42311,1,2,Others
1.0,0.01764706,5.0,4.0,114,83,107.287865,1,2,Others
1.0,0.019607844,5.0,5.0,88,1252,46.647484,1,2,Others
1.0,0.018627452,5.0,4.5,93,131,35.40599,1,2,Others
1.0,0.01495098,4.125,3.5,171,778,123.270935,1,2,Others
1.0,0.015686275,4.3333335,3.6666667,89,0,243.5875,1,2,Others
1.0,0.014215687,4.0,3.25,46,119,45.126778,1,2,Others
1.0,0.017864924,5.111111,4.0,241,1775,12.76337,1,2,Others
1.0,0.018431373,5.0,4.4,134,55,42.80599,1,2,Others
1.0,0.01764706,4.8,4.2,85,968,50.408882,1,2,Others
1.0,0.015196079,4.25,3.5,92,123,56.783924,1,2,Others
1.0,0.016470589,4.6,3.8,125,59,17.202969,1,2,Others
1.0,0.01633987,4.3333335,4.0,80,0,40.160614,1,2,Others
1.0,0.015032682,4.0,3.6666667,72,146,29.598,1,2,Others
1.0,0.014117648,3.8,3.4,137,1134,42.496418,1,2,Others
1.0,0.010784315,3.0,2.5,89,1759,97.911896,1,2,Others
1.0,0.016666668,4.5,4.0,80,8816,112.5831,1,2,Others
1.0,0.018627452,5.0,4.5,91,79,13.959525,1,2,Others
1.0,0.015196079,4.25,3.5,112,1309,24.792854,1,2,Others
1.0,0.013235295,3.75,3.0,79,179,63.33949,1,2,Others
1.0,0.013071897,4.0,2.6666667,80,1158,5.7274,1,2,Others
1.0,0.016078431,4.4,3.8,78,206,165.38484,1,2,Others
1.0,0.016078431,4.4,3.8,79,597,17.055784,1,2,Others
1.0,0.014705883,4.25,3.25,124,89,96.83254,1,2,Others
1.0,0.018300654,5.0,4.3333335,87,0,27.91008,1,1,Others
1.0,0.018039215,4.8,4.4,89,64,88.658966,1,1,Others
1.0,0.01372549,3.6666667,3.3333333,106,62,24.84357,1,1,Others
1.0,0.010784315,3.0,2.5,79,2163,15.505011,1,1,Others
